,building_size_m2,land_size_m2,maid_bathrooms,electricity,maid_bedrooms,bedrooms,floors,carports,long,lat,garages
0,272.0,239.0,1.0,4400.0,0.0,2.0,2.0,0.0,106.9862751,-6.223945,0.0
1,69.0,55.0,0.0,2200.0,0.0,1.7320508075688772,2.0,1.0,106.9862751,-6.223945,0.0
2,131.0,119.0,1.0,2200.0,1.0,1.7320508075688772,2.0,1.0,106.9862751,-6.223945,1.0
3,174.0,180.0,1.0,3500.0,1.0,1.7320508075688772,2.0,0.0,106.9862751,-6.223945,1.4142135623730951
4,196.0,328.0,1.0,3500.0,1.0,2.0,2.0,2.0,106.9862751,-6.223945,1.0
5,200.0,136.0,1.0,3500.0,1.0,1.7320508075688772,2.0,2.0,106.9862751,-6.223945,1.0
6,144.0,144.0,0.0,4400.0,0.0,1.4142135623730951,2.0,1.0,106.9862751,-6.223945,1.0
7,250.0,216.0,1.0,3500.0,1.0,2.0,2.0,2.0,106.9862751,-6.223945,1.0
8,152.0,200.0,1.0,4400.0,1.5811388300841898,1.8238922667116197,2.0,2.0,106.9862751,-6.223945,0.0
9,200.0,136.0,1.0,3500.0,1.0,1.7320508075688772,2.0,1.0,106.9862751,-6.223945,1.0
10,186.0,144.0,0.0,2200.0,1.0,1.7320508075688772,2.0,1.0,106.9862751,-6.223945,0.0
11,50.0,55.0,0.0,2200.0,0.0,1.4142135623730951,2.0,1.0,106.9862751,-6.223945,0.0
12,82.0,119.0,0.0,2200.0,0.0,1.4142135623730951,2.0,1.0,106.9862751,-6.223945,1.0
13,149.0,144.0,1.0,2200.0,1.0,1.7320508075688772,2.0,1.0,106.9862751,-6.223945,1.0
14,200.0,144.0,0.0,2200.0,0.0,1.7320508075688772,2.0,1.0,106.9862751,-6.223945,1.0
15,136.0,193.0,1.0,3500.0,1.0,1.7320508075688772,3.0,1.0,106.9862751,-6.223945,1.0
16,370.0,192.0,1.0,3500.0,1.0,2.23606797749979,2.0,2.0,106.9862751,-6.223945,0.0
17,50.0,55.0,1.0,2200.0,1.0,1.4142135623730951,2.0,1.0,106.9862751,-6.223945,0.0
18,150.0,119.0,0.0,2200.0,0.0,2.0,2.0,0.0,106.9862751,-6.223945,0.0
19,150.0,119.0,1.0,2200.0,1.0,1.7320508075688772,1.0,1.0,106.9862751,-6.223945,1.0
20,150.0,144.0,1.0,2200.0,1.0,1.7320508075688772,1.0,1.0,106.9862751,-6.223945,0.0
