,price_in_rp
0,2990000000.0
1,1270000000.0
2,1950000000.0
3,3300000000.0
4,4500000000.0
5,2700000000.0
6,2350000000.0
7,4500000000.0
8,2900000000.0
9,2700000000.0
10,2550000000.0
11,952000000.0
12,1800000000.0
13,2350000000.0
14,2500000000.0
15,2700000000.0
16,5360000000.0
17,952000000.0
18,2250000000.0
19,2250000000.0
20,2450000000.0
21,125000000.0
22,1980000000.0
23,764000000.0
24,2000000000.0
25,764000000.0
26,2350000000.0
27,2550000000.0
28,480000000.0
29,1900000000.0
30,300000000.0
31,5270000000.0
32,2800000000.0
33,2710000000.0
34,500000000.0
35,439000000.0
36,800000000.0
37,850000000.0
38,700000000.0
39,4950000000.0
40,1300000000.0
41,1200000000.0
42,2650000000.0
43,1300000000.0
44,1300000000.0
45,1300000000.0
46,425000000.0
47,280000000.0
48,999000000.0
49,5750000000.0
50,1500000000.0
51,6800000000.0
52,3000000000.0
53,168000000.0
54,870000000.0
55,495000000.0
56,275000000.0
57,300000000.0
58,1440000000.0
59,764000000.0
60,1200000000.0
61,764000000.0
62,495000000.0
63,1500000000.0
64,300000000.0
65,365000000.0
66,350000000.0
67,351000000.0
68,393000000.0
69,392000000.0
70,440000000.0
71,351000000.0
72,401000000.0
73,1990000000.0
74,1150000000.0
75,3200000000.0
76,950000000.0
77,1500000000.0
78,1250000000.0
79,1200000000.0
80,3200000000.0
81,850000000.0
82,1280000000.0
83,895000000.0
84,1450000000.0
85,1300000000.0
86,690000000.0
87,950000000.0
88,1350000000.0
89,1000000000.0
90,2850000000.0
91,1150000000.0
92,342000000.0
93,327000000.0
94,975000000.0
95,975000000.0
96,1370000000.0
97,1370000000.0
98,2150000000.0
99,2150000000.0
100,2150000000.0
101,1200000000.0
102,1550000000.0
103,1250000000.0
104,168000000.0
105,1400000000.0
106,799000000.0
107,779000000.0
108,775000000.0
109,2150000000.0
110,779000000.0
111,1750000000.0
112,750000000.0
113,1250000000.0
114,870000000.0
115,1500000000.0
116,1500000000.0
117,4300000000.0
118,1300000000.0
119,1300000000.0
120,1800000000.0
121,520000000.0
122,1300000000.0
123,685000000.0
124,930000000.0
125,685000000.0
126,2100000000.0
127,520000000.0
128,520000000.0
129,1200000000.0
130,1200000000.0
131,2170000000.0
132,1450000000.0
133,1200000000.0
134,1450000000.0
135,1400000000.0
136,620000000.0
137,1450000000.0
138,1800000000.0
139,1600000000.0
140,3000000000.0
141,3000000000.0
142,1600000000.0
143,1800000000.0
144,2700000000.0
145,1400000000.0
146,970000000.0
147,575000000.0
148,900000000.0
149,1250000000.0
150,525000000.0
151,510000000.0
152,895000000.0
153,2500000000.0
154,1650000000.0
155,690000000.0
156,750000000.0
157,764000000.0
158,764000000.0
159,42000000.0
160,1400000000.0
161,500000000.0
162,342000000.0
163,764000000.0
164,764000000.0
165,500000000.0
166,1150000000.0
167,599000000.0
168,1680000000.0
169,1560000000.0
170,1180000000.0
171,1180000000.0
172,990000000.0
173,800000000.0
174,718000000.0
175,1390000000.0
176,764000000.0
177,1200000000.0
178,1310000000.0
179,680000000.0
180,680000000.0
181,1200000000.0
182,680000000.0
183,680000000.0
184,1200000000.0
185,680000000.0
186,1200000000.0
187,390000000.0
188,455000000.0
189,1010000000.0
190,690000000.0
191,988000000.0
192,465000000.0
193,480000000.0
194,625000000.0
195,3000000000.0
196,1180000000.0
197,1080000000.0
198,1050000000.0
199,1080000000.0
200,1150000000.0
201,1080000000.0
202,1080000000.0
203,1150000000.0
204,1150000000.0
205,1150000000.0
206,1210000000.0
207,1180000000.0
208,1150000000.0
209,1180000000.0
210,968000000.0
211,1650000000.0
212,1180000000.0
213,720000000.0
214,1300000000.0
215,1190000000.0
216,1180000000.0
217,1300000000.0
218,600000000.0
219,500000000.0
220,1100000000.0
221,1280000000.0
222,3700000000.0
223,1070000000.0
224,476000000.0
225,968000000.0
226,884000000.0
227,1180000000.0
228,4040000000.0
229,1100000000.0
230,2250000000.0
231,1800000000.0
232,800000000.0
233,920000000.0
234,1970000000.0
235,1990000000.0
236,3950000000.0
237,1250000000.0
238,5300000000.0
239,1110000000.0
240,1870000000.0
241,1590000000.0
242,1620000000.0
243,500000000.0
244,750000000.0
245,600000000.0
246,799000000.0
247,799000000.0
248,799000000.0
249,959000000.0
250,774000000.0
251,995000000.0
252,1400000000.0
253,1050000000.0
254,975000000.0
255,620000000.0
256,959000000.0
257,875000000.0
258,600000000.0
259,807000000.0
260,580000000.0
261,679000000.0
262,900000000.0
263,849000000.0
264,880000000.0
265,695000000.0
266,465000000.0
267,857000000.0
268,650000000.0
269,145000000.0
270,1990000000.0
271,675000000.0
272,350000000.0
273,350000000.0
274,2790000000.0
275,2790000000.0
276,2790000000.0
277,750000000.0
278,400000000.0
279,1350000000.0
280,1350000000.0
281,750000000.0
282,550000000.0
283,700000000.0
284,682000000.0
285,2300000000.0
286,1200000000.0
287,4300000000.0
288,4500000000.0
289,1250000000.0
290,2300000000.0
291,2200000000.0
292,410000000.0
293,1960000000.0
294,875000000.0
295,695000000.0
296,1800000000.0
297,1050000000.0
298,1050000000.0
299,1050000000.0
300,1050000000.0
301,1050000000.0
302,1250000000.0
303,1690000000.0
304,1620000000.0
305,735000000.0
306,1620000000.0
307,2100000000.0
308,799000000.0
309,3400000000.0
310,1250000000.0
311,1200000000.0
312,1050000000.0
313,1350000000.0
314,700000000.0
315,2200000000.0
316,703000000.0
317,1050000000.0
318,1050000000.0
319,950000000.0
320,2190000000.0
321,950000000.0
322,999000000.0
323,2100000000.0
324,545000000.0
325,725000000.0
326,463000000.0
327,575000000.0
328,320000000.0
329,468000000.0
330,168000000.0
331,875000000.0
332,496000000.0
333,779000000.0
334,800000000.0
335,800000000.0
336,764000000.0
337,1600000000.0
338,1150000000.0
339,764000000.0
340,42000000.0
341,1350000000.0
342,2200000000.0
343,2000000000.0
344,625000000.0
345,1000000000.0
346,1600000000.0
347,680000000.0
348,490000000.0
349,665000000.0
350,445000000.0
351,570000000.0
352,1050000000.0
353,1500000000.0
354,665000000.0
355,665000000.0
356,950000000.0
357,650000000.0
358,975000000.0
359,799000000.0
360,3700000000.0
361,950000000.0
362,350000000.0
363,524000000.0
364,325000000.0
365,325000000.0
366,335000000.0
367,310000000.0
368,1500000000.0
369,1500000000.0
370,6640000000.0
371,327000000.0
372,332000000.0
373,395000000.0
374,168000000.0
375,480000000.0
376,395000000.0
377,360000000.0
378,350000000.0
379,370000000.0
380,320000000.0
381,853000000.0
382,550000000.0
383,2200000000.0
384,1950000000.0
385,1960000000.0
386,1150000000.0
387,1800000000.0
388,1400000000.0
389,1400000000.0
390,1250000000.0
391,3250000000.0
392,6750000000.0
393,5000000000.0
394,850000000.0
395,1850000000.0
396,1080000000.0
397,1200000000.0
398,390000000.0
399,2750000000.0
400,2750000000.0
401,590000000.0
402,990000000.0
403,2000000000.0
404,635000000.0
405,475000000.0
406,525000000.0
407,525000000.0
408,375000000.0
409,1100000000.0
410,2000000000.0
411,764000000.0
412,764000000.0
413,920000000.0
414,774000000.0
415,1700000000.0
416,2800000000.0
417,2800000000.0
418,6000000000.0
419,1700000000.0
420,2800000000.0
421,1250000000.0
422,2850000000.0
423,4150000000.0
424,1800000000.0
425,1000000000.0
426,800000000.0
427,895000000.0
428,450000000.0
429,1500000000.0
430,590000000.0
431,590000000.0
432,1500000000.0
433,1250000000.0
434,1250000000.0
435,970000000.0
436,779000000.0
437,550000000.0
438,550000000.0
439,375000000.0
440,550000000.0
441,550000000.0
442,455000000.0
443,900000000.0
444,390000000.0
445,967000000.0
446,1500000000.0
447,2300000000.0
448,390000000.0
449,409000000.0
450,168000000.0
451,300000000.0
452,1650000000.0
453,450000000.0
454,900000000.0
455,750000000.0
456,1050000000.0
457,2500000000.0
458,300000000.0
459,795000000.0
460,1000000000.0
461,1900000000.0
462,1180000000.0
463,1430000000.0
464,1180000000.0
465,400000000.0
466,1470000000.0
467,440000000.0
468,324000000.0
469,764000000.0
470,764000000.0
471,764000000.0
472,1900000000.0
473,650000000.0
474,1450000000.0
475,650000000.0
476,925000000.0
